Anbieter,Stromkennzeichnung Atom,Kohle,Erdgas,sonst. Fossil,EEG Strom,Erneuerbare Energien,Check,Kohle und sonst. Fossile Energieträger,Stromeinkauf (ohne EEG) Atom,Kohle2,Erdgas2,sonst. Fossil 2,Erneuerbare Energien 2,Kohle und sonst. Fossile Energieträger 2,CO2 Emmision (g/KWh),Atommüll (g/kWh),Tatsächlicher CO2-Ausstoß (Stromeinkauf) ohne EEG,Link,Anmerkungen
Stadtwerke Energie Jena-Pößneck GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.stadtwerke-jena.de/privatkunden/strom/allgemeines.html,
Stadtwerke Engen GmbH,1.70%,8.00%,1.90%,0.30%,52.90%,35.20%,100.00%,10.20%,3.61%,16.99%,4.03%,0.64%,74.73%,21.66%,91,0.0000,193.205944798302,http://www.stadtwerke-engen.de/engenGips/Gips?SessionMandant=Engen&Anwendung=CMSWEBPAGE&Methode=RefreshHTMLAusgabe&RessourceID=37163&Container.Children:1.SelectedChildIndex=0&Container.Children:1.Container.Children:0.SelectedFolderID=11793#DownloadCenter_38424,
Stadtwerke Eppingen GmbH & Co. KG,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-eppingen.de/strom.html,nicht vorhanden
Stadtwerke Erkrath GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.stadtwerke-erkrath.de/privatkunden/strom/strommix/,
Stadtwerke Eschwege GmbH,8.50%,24.00%,9.30%,1.40%,52.90%,3.90%,100.00%,34.70%,18.05%,50.96%,19.75%,2.97%,8.28%,73.67%,241,0.0002,511.677282377919,https://www.stadtwerke-eschwege.de/de/Strom/Stromkennzeichnung/,
Stadtwerke Essen AG,4.30%,14.90%,5.90%,0.70%,52.90%,21.30%,100.00%,21.50%,9.13%,31.63%,12.53%,1.49%,45.22%,45.65%,175,0.0000,371.549893842888,https://www.stadtwerke-essen.de/fileadmin/user_upload/PDF/Strom/Essenstrom/EssenStrom_Energietra__germix_2018-11.pdf,
Stadtwerke Ettlingen GmbH,10.50%,17.60%,5.00%,1.30%,42.30%,23.30%,100.00%,23.90%,18.20%,30.50%,8.67%,2.25%,40.38%,41.42%,185,0.0003,320.623916811092,https://www.sw-ettlingen.de/de/Strom/Mehr-Infos-zum-Strom/,
Stadtwerke Eutin GmbH,0.00%,0.00%,4.30%,0.00%,52.00%,43.70%,100.00%,4.30%,0.00%,0.00%,8.96%,0.00%,91.04%,8.96%,11,0.0000,22.9166666666667,https://www.stadtwerke-eutin.de/eutinGips/Gips?SessionMandant=Eutin&Anwendung=EnWGKnotenAnzeigen&PrimaryId=9&Mandantkuerzel=Eutin&Navigation=J,
Stadtwerke EVB Huntetal GmbH,9.00%,23.90%,10.70%,1.50%,46.00%,8.80%,99.90%,36.10%,16.67%,44.26%,19.81%,2.78%,16.30%,66.85%,283,0.0002,524.074074074074,https://www.stadtwerke-huntetal.de/de/Privatkunden/Strom/,
Stadtwerke Fellbach GmbH,9.30%,31.10%,8.00%,1.50%,48.10%,2.10%,100.10%,40.60%,17.92%,59.92%,15.41%,2.89%,4.05%,78.23%,347,0.0003,668.59344894027,http://www.stadtwerke-fellbach.de/fileadmin/user_upload/sparte/strom/strommix.pdf,
Stadtwerke Feuchtwangen,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://stadtwerke-feuchtwangen.de/index.php/vertrieb-tarife.html,
Stadtwerke Finsterwalde GmbH,3.30%,15.80%,3.90%,0.60%,52.90%,23.50%,100.00%,20.30%,7.01%,33.55%,8.28%,1.27%,49.89%,43.10%,179,0.0001,380.042462845011,https://www.stadtwerke-finsterwalde.de/cms/Strom/Stromkennzeichnung/Stromkennzeichnung/Stromkennzeichung-SF-2018.pdf,
Stadtwerke Flensburg GmbH,5.10%,27.40%,7.70%,1.40%,52.70%,5.70%,100.00%,36.50%,10.78%,57.93%,16.28%,2.96%,12.05%,77.17%,281,0.0001,594.080338266385,https://www.stadtwerke-flensburg.de/fileadmin/user_upload/pdf/strom/Strommix/Strommix-SWFL-2017.pdf,
Stadtwerke Forchheim GmbH,2.40%,6.70%,1.50%,0.20%,52.90%,36.30%,100.00%,8.40%,5.10%,14.23%,3.18%,0.42%,77.07%,17.83%,73,0.0001,154.989384288747,https://www.stadtwerke-forchheim.de/legal/pflichtveroeffentlichungen/,
Stadtwerke Forst GmbH,6.90%,21.30%,8.30%,1.20%,52.90%,9.40%,100.00%,30.80%,14.65%,45.22%,17.62%,2.55%,19.96%,65.39%,250,0.0002,530.785562632696,https://www.stadtwerke-forst.de/strom,
Stadtwerke Frankenthal GmbH,8.70%,28.30%,8.80%,1.30%,52.90%,0.00%,100.00%,38.40%,18.47%,60.08%,18.68%,2.76%,0.00%,81.53%,322,0.0002,683.651804670913,https://www.stw-frankenthal.de/_Resources/Persistent/111a52a7352ec07f1943e1e4e945c032ff31524a/2017_Stromkennzeichnung_FT.pdf,
Stadtwerke Frankfurt (Oder) GmbH,2.60%,21.90%,17.50%,0.40%,51.60%,6.00%,100.00%,39.80%,5.37%,45.25%,36.16%,0.83%,12.40%,82.23%,152,0.0001,314.04958677686,https://www.stadtwerke-ffo.de/strom/veroeffentlichungen/,
Stadtwerke Freudenberg GmbH & Co. KG,8.60%,26.60%,10.00%,1.60%,52.90%,0.30%,100.00%,38.20%,18.26%,56.48%,21.23%,3.40%,0.64%,81.10%,311,0.0002,660.297239915074,http://www.stadtwerke-freudenberg.de/de/Strom/Stromkennzeichnung/,
Stadtwerke Freudenstadt GmbH & Co. KG,5.90%,28.40%,7.40%,1.20%,52.90%,4.10%,99.90%,37.00%,12.53%,60.30%,15.71%,2.55%,8.70%,78.56%,323,0.0002,685.774946921444,https://www.stadtwerke-freudenstadt.de/de/Privatkunden/Strom/Strommix,
Stadtwerke Friedrichsthal GmbH & Co. KG,2.90%,4.60%,2.60%,0.00%,52.90%,37.00%,100.00%,7.20%,6.16%,9.77%,5.52%,0.00%,78.56%,15.29%,56,0.0001,118.895966029724,https://www.kommpower.de/stromkennzeichnung/,
Stadtwerke Fröndenberg GmbH,9.10%,24.20%,10.90%,1.50%,52.90%,1.40%,100.00%,36.60%,19.32%,51.38%,23.14%,3.18%,2.97%,77.71%,287,0.0002,609.341825902335,https://www.stadtwerke-froendenberg.de/bilder/Kennzeichnung2017.jpg,
Stadtwerke Fürstenfeldbruck GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.stadtwerke-ffb.de/de/Privatkunden/Strom/Informationen/Stromkennzeichnung/,
Stadtwerke Furth im Wald GmbH & Co. KG,17.50%,21.30%,7.20%,0.90%,52.90%,0.20%,100.00%,29.40%,37.15%,45.22%,15.29%,1.91%,0.42%,62.42%,236,0.0005,501.061571125265,https://www.stadtwerke-furth.de/index.php/vertrieb/vertrieb-veroeffentlichung/category/129-stromkennzeichnung,
Stadtwerke Gaggenau,9.20%,28.50%,8.20%,1.10%,52.90%,0.10%,100.00%,37.80%,19.53%,60.51%,17.41%,2.34%,0.21%,80.25%,299,0.0002,634.819532908705,https://www.stadtwerke-gaggenau.de/de/Privatkunden/Strom/Nuetzliche-Informationen-zu-Ihrem-Strompreis/Informationen-zu-Ihrem-Strompreis.html,
Stadtwerke Garbsen GmbH,7.50%,30.00%,4.90%,0.60%,52.90%,4.10%,100.00%,35.50%,15.92%,63.69%,10.40%,1.27%,8.70%,75.37%,315,0.0002,668.789808917197,https://www.stadtwerke-garbsen.de/_Resources/Persistent/2c278fae886552d6531319332c6c104a6be15c9b/Stromkennzeichnung%202018.pdf,
Stadtwerke Geesthacht GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-geesthacht.de/strom.html,nicht vorhanden
Stadtwerke Geldern GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-geldern.de/privatkunden/strom/stromkennzeichnung,nicht aktuell
Stadtwerke Gelnhausen GmbH,18.10%,22.20%,5.70%,0.90%,52.90%,0.20%,100.00%,28.80%,38.43%,47.13%,12.10%,1.91%,0.42%,61.15%,243,0.0005,515.923566878981,https://www.stadtwerke-gelnhausen.de/faq/stromkennzeichnung.html,
Stadtwerke Gengenbach,6.50%,28.90%,8.60%,1.20%,52.90%,1.90%,100.00%,38.70%,13.80%,61.36%,18.26%,2.55%,4.03%,82.17%,329,0.0002,698.513800424628,https://www.stadtwerke-gengenbach.de/index.php?id=131&L=0,
Stadtwerke Georgsmarienhütte GmbH,5.90%,18.20%,14.60%,1.10%,52.90%,7.20%,99.90%,33.90%,12.53%,38.64%,31.00%,2.34%,15.29%,71.97%,237,0.0002,503.184713375796,http://www.sw-gmhuette.de/de/Produkte-Preise/Strom/Stromkennzeichnung1/,
Stadtwerke Germersheim GmbH,1.50%,5.20%,1.50%,0.20%,52.90%,38.60%,99.90%,6.90%,3.18%,11.04%,3.18%,0.42%,81.95%,14.65%,58,0.0000,123.142250530786,https://www.stw-ger.de/de/Strom/Germersheim-Sondernheim/Stromkennzeichnung/,
Stadtwerke Gescher GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-gescher.de/produkte/strom/stromkennzeichnung/,FEHLER nicht lesbar
Stadtwerke Gießen AG,6.37%,28.48%,7.65%,0.58%,49.24%,7.68%,100.00%,36.71%,12.55%,56.11%,15.07%,1.14%,15.13%,72.32%,320,0.0002,630.417651694247,https://www.swg-energie.de/fileadmin/user_upload/PDF/02_Energie/01_Privatkunden/01_Strom/Stromkennzeichen_2017_TK.pdf,
Stadtwerke Gifhorn GmbH,0.00%,10.20%,31.60%,3.30%,52.90%,2.00%,100.00%,45.10%,0.00%,21.66%,67.09%,7.01%,4.25%,95.75%,325,0.0000,690.021231422505,https://www.stadtwerke-gifhorn.de/privatkunden/strom/stromkennzeichnung/index.htm,
Stadtwerke Glauchau Dienstleistungsgesellschaft mbH,9.20%,28.30%,8.30%,1.30%,52.90%,0.00%,100.00%,37.90%,19.53%,60.08%,17.62%,2.76%,0.00%,80.47%,320,0.0002,679.405520169852,https://www.stadtwerke-glauchau.de/pdf/stromkennzeichnung-2018-referenzjahr-2017.pdf?mod=1540886137,
Stadtwerke Glückstadt GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-glueckstadt.de/oekostrom/oekostrom/,nicht aktuell
Stadtwerke GmbH Bad Kreuznach,9.60%,33.00%,6.70%,0.80%,49.70%,0.20%,100.00%,40.50%,19.09%,65.61%,13.32%,1.59%,0.40%,80.52%,365,0.0003,725.646123260437,https://www.kreuznacherstadtwerke.de/strom/stromkennzeichnung/,
Stadtwerke Goch GmbH,1.70%,6.00%,5.10%,0.10%,52.60%,34.50%,100.00%,11.20%,3.59%,12.66%,10.76%,0.21%,72.78%,23.63%,104,0.0001,219.409282700422,https://www.stadtwerke-goch.de/fileadmin/redakteur/Gesch%C3%A4ftskunden/Stromkennzeichnung_2017.pdf,
Stadtwerke Görlitz AG,0.00%,0.00%,0.00%,0.00%,45.20%,54.80%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.stadtwerke-goerlitz.de/privatkunden/produkte/strom/,FEHLER Deutschland-Mix
Stadtwerke Gotha GmbH,7.80%,27.70%,9.80%,1.10%,52.90%,0.60%,99.90%,38.60%,16.56%,58.81%,20.81%,2.34%,1.27%,81.95%,321,0.0002,681.528662420382,https://www.stadtwerke-gotha.de/strom/energiemix/,
Stadtwerke Göttingen AG,3.80%,13.30%,4.60%,0.60%,52.50%,25.20%,100.00%,18.50%,8.00%,28.00%,9.68%,1.26%,53.05%,38.95%,151,0.0001,317.894736842105,https://www.stadtwerke-goettingen.de/produkte/goestrom/strom-mix/,
Stadtwerke Greven GmbH,8.00%,26.00%,7.00%,1.00%,53.00%,5.00%,100.00%,34.00%,17.02%,55.32%,14.89%,2.13%,10.64%,72.34%,297,0.0002,631.914893617021,https://www.stadtwerke-greven.de/de/Strom/Stromtarife/Stromtarife/Stromkennzeichnung,
Stadtwerke Grevesmühlen GmbH,6.20%,20.10%,16.60%,0.60%,52.90%,3.60%,100.00%,37.30%,13.16%,42.68%,35.24%,1.27%,7.64%,79.19%,255,0.0002,541.40127388535,https://www.stadtwerke-gvm.de/de/produkte-leistungen/strom.html,
Stadtwerke Grimma GmbH,11.00%,34.00%,9.90%,1.60%,0.00%,43.50%,100.00%,45.50%,11.00%,34.00%,9.90%,1.60%,43.50%,45.50%,384,0.0003,384,https://www.stadtwerke-grimma.de/wp-content/uploads/2018/10/Energietr%C3%A4germix.pdf,FEHLER mit EEG
Stadtwerke Gronau GmbH,5.70%,19.20%,7.30%,0.90%,51.70%,15.20%,100.00%,27.40%,11.80%,39.75%,15.11%,1.86%,31.47%,56.73%,210,0.0002,434.782608695652,https://www.stadtwerke-gronau.de/unsere-angebote/strom/stromkennzeichnung/,
Stadtwerke Großalmerode GmbH & Co. KG - Eine Marke der Städtische Werke AG Kassel,1.40%,16.30%,1.50%,0.40%,50.10%,30.30%,100.00%,18.20%,2.81%,32.67%,3.01%,0.80%,60.72%,36.47%,177,0.0000,354.709418837675,https://www.stadtwerke-grossalmerode.de/produkte/strom/,
Stadtwerke Groß-Gerau Versorgungs GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,http://www.ggv-energie.de/cms/strom/stadt/tarife/tarifinformationen/strommix.php,FEHLER Deutschland-Mix
Stadtwerke Grünstadt GmbH,8.20%,27.30%,8.50%,1.20%,52.90%,1.90%,100.00%,37.00%,17.41%,57.96%,18.05%,2.55%,4.03%,78.56%,312,0.0002,662.420382165605,https://www.swen-gruenstadt.de/swen/service/downloads/?navid=961883961883#anchor_f22b180f_Accordion-Strom,
Stadtwerke Gunzenhausen GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.swg-gun.de/index.php/swg/Strom/Stromkennzeichnung,nicht aktuell
Stadtwerke Güstrow GmbH,7.50%,20.70%,17.70%,1.10%,52.90%,0.10%,100.00%,39.50%,15.92%,43.95%,37.58%,2.34%,0.21%,83.86%,213,0.0002,452.229299363057,https://www.stadtwerke-guestrow.de/unsere-produkte/strom/ueber-stromissimorstrom/#c295,
Stadtwerke Gütersloh GmbH,11.80%,24.50%,6.40%,0.70%,50.80%,5.90%,100.10%,31.60%,23.98%,49.80%,13.01%,1.42%,11.99%,64.23%,272,0.0003,552.845528455285,https://www.stadtwerke-gt.de/privatkunden/strom/grund-und-ersatzversorgung/,
Stadtwerke Haan GmbH,9.30%,33.10%,2.60%,0.30%,52.90%,1.80%,100.00%,36.00%,19.75%,70.28%,5.52%,0.64%,3.82%,76.43%,354,0.0003,751.592356687898,https://stadtwerke-haan.de/,
Stadtwerke Hagenow GmbH,13.90%,17.00%,4.40%,0.70%,52.90%,11.10%,100.00%,22.10%,29.51%,36.09%,9.34%,1.49%,23.57%,46.92%,155,0.0002,329.087048832272,http://www.stadtwerke-hagenow.de/wp-content/uploads/Stromkennzeichnung-2017.pdf,
Stadtwerke Haiger,2.20%,7.60%,1.80%,0.20%,52.90%,35.30%,100.00%,9.60%,4.67%,16.14%,3.82%,0.42%,74.95%,20.38%,85,0.0001,180.467091295117,http://www.stadtwerkehaiger.de/de/Energie-Wasser/Strom/Stromkennzeichnung.html,
Stadtwerke Haldensleben GmbH,15.20%,18.70%,12.30%,0.80%,52.90%,0.10%,100.00%,31.80%,32.27%,39.70%,26.11%,1.70%,0.21%,67.52%,220,0.0004,467.091295116773,https://www.swhdl.de/cdn/stadtwerke-haldensleben/strom/strommix_2017.pdf,
Stadtwerke Haltern am See GmbH,9.10%,24.20%,10.90%,1.50%,52.90%,1.40%,100.00%,36.60%,19.32%,51.38%,23.14%,3.18%,2.97%,77.71%,287,0.0002,609.341825902335,https://www.stadtwerke-haltern.de/fileadmin/user_upload/Vertrieb/2018/Mix2017.jpg,
Stadtwerke Hamm GmbH,7.31%,19.39%,9.11%,3.93%,52.76%,7.51%,100.01%,32.43%,15.47%,41.05%,19.28%,8.32%,15.90%,68.65%,231,0.0002,488.992379339543,https://www.stadtwerke-hamm.de/privatkunden/energie/strom/strominfos/stromkennzeichnung/,
Stadtwerke Hammelburg GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.stadtwerke-hammelburg.de/eigene_dateien/aktuell/2018-aktuellers/20181029_stromkennzeichnung_2017.pdf,
Stadtwerke Hanau GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://stadtwerke-hanau.de/produkte/strom/uebersicht-strom,
Stadtwerke Harsewinkel GmbH,2.30%,8.50%,2.50%,0.40%,52.90%,33.40%,100.00%,11.40%,4.88%,18.05%,5.31%,0.85%,70.91%,24.20%,93,0.0001,197.452229299363,https://www.stadtwerke-harsewinkel.de/privatkunden/strom/stromherkunft/,
Stadtwerke Haslach,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-haslach.de/index.php/strom/unterlagen,nicht aktuell
Stadtwerke Hattingen GmbH,7.80%,20.70%,9.30%,1.30%,52.90%,7.90%,99.90%,31.30%,16.56%,43.95%,19.75%,2.76%,16.77%,66.45%,246,0.0002,522.292993630573,https://www.stadtwerke-hattingen.de/de/Privat-Gewerbekunden/Strom/Energietraegermix/,
Stadtwerke Havelberg GmbH,8.00%,17.00%,6.00%,4.00%,65.00%,0.00%,100.00%,27.00%,22.86%,48.57%,17.14%,11.43%,0.00%,77.14%,143,0.0002,408.571428571429,https://www.stadtwerke-havelberg.de/produkte/strom/strom-uebersicht.html,FEHLER mit EEG
Stadtwerke Hechingen,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-hechingen.de/privatkunden/angebot/strom/unser-strom/,nicht aktuell
Stadtwerke Heide GmbH,16.00%,19.00%,8.00%,1.00%,53.00%,3.00%,100.00%,28.00%,34.04%,40.43%,17.02%,2.13%,6.38%,59.57%,218,0.0004,463.829787234043,https://www.stadtwerke-heide.de/kennzeichnung.html,
Stadtwerke Heidelberg Energie GmbH,5.90%,16.00%,5.10%,0.70%,51.60%,20.70%,100.00%,21.80%,12.19%,33.06%,10.54%,1.45%,42.77%,45.04%,143,0.0002,295.454545454545,https://www.swhd.de/de/Energie-und-Wasser/Strom/Rechte-Seite/Stromkennzeichnung.jpg,
Stadtwerke Heidenheim AG,6.10%,31.30%,8.50%,1.10%,48.90%,4.10%,100.00%,40.90%,11.94%,61.25%,16.63%,2.15%,8.02%,80.04%,357,0.0002,698.630136986302,https://www.stadtwerke-heidenheim.de/info-service/gesetze-verordnungen.html,
Stadtwerke Heilbad Heiligenstadt GmbH,5.40%,23.50%,16.00%,0.80%,52.90%,1.30%,99.90%,40.30%,11.46%,49.89%,33.97%,1.70%,2.76%,85.56%,284,0.0001,602.972399150743,https://www.stadtwerke-heiligenstadt.de/index.php?id=147,
Stadtwerke Heiligenhafen,0.00%,0.00%,0.00%,0.00%,53.00%,47.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.stadtwerke-heiligenhafen.com/stromkennzeichnung/,
Stadtwerke Heilsbronn,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.heilsbronn-stadtwerke.de/strom/allgemeines/,nicht aktuell
Stadtwerke Hemau,9.90%,26.30%,9.40%,1.30%,52.90%,0.10%,99.90%,37.00%,21.02%,55.84%,19.96%,2.76%,0.21%,78.56%,299,0.0003,634.819532908705,https://www.stadtwerke-hemau.de/cms/pages/strom/stromvertrieb/sonstige-veroeffentlichungen.php,
Stadtwerke Herborn GmbH,3.20%,11.20%,2.60%,0.30%,47.60%,35.10%,100.00%,14.10%,6.11%,21.37%,4.96%,0.57%,66.98%,26.91%,125,0.0001,238.549618320611,https://www.stadtwerke-herborn.de/privatkunden/strom/tarife-preise-ab-01012019/herborn-stadtteile.html#collapse2004-5,
Stadtwerke Herford GmbH,0.00%,0.00%,1.76%,0.00%,52.04%,46.20%,100.00%,1.76%,0.00%,0.00%,3.67%,0.00%,96.33%,3.67%,0,0.0000,0,https://www.stadtwerke-herford.de/?page=produkte_strom,
Stadtwerke Herne AG,5.60%,19.40%,7.60%,0.90%,49.20%,17.30%,100.00%,27.90%,11.02%,38.19%,14.96%,1.77%,34.06%,54.92%,137,0.0002,269.685039370079,https://www.stadtwerke-herne.de/privatkunden/produkte/strom/copy_of_strominfos,
Stadtwerke Herrenberg,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://stadtwerke.herrenberg.de/gaeugas-gaeustrom/gaeustrom/tarife/privatkunden/gaeustrom-eco,
Stadtwerke Hettstedt GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://stadtwerke-hettstedt.de/strom.html,nicht aktuell
Stadtwerke Hilden GmbH,3.00%,14.20%,3.90%,0.60%,52.90%,25.40%,100.00%,18.70%,6.37%,30.15%,8.28%,1.27%,53.93%,39.70%,150,0.0001,318.471337579618,https://stadtwerke-hilden.de/privatkunden/hildenstrom/produkte-und-preise.html,
Stadtwerke Hockenheim,14.80%,18.60%,3.90%,1.70%,52.90%,8.10%,100.00%,24.20%,31.42%,39.49%,8.28%,3.61%,17.20%,51.38%,199,0.0004,422.505307855626,http://www.stadtwerke-hockenheim.de/hockenheimGips/Gips?SessionMandant=Hockenheim&Anwendung=CMSWebpage&Methode=ShowHTMLAusgabe&RessourceID=6495,
Stadtwerke Hollfeld,18.10%,22.20%,5.70%,0.90%,52.90%,0.10%,99.90%,28.80%,38.43%,47.13%,12.10%,1.91%,0.21%,61.15%,253,0.0005,537.154989384289,https://www.stadtwerke-hollfeld.de/index.php/preise-und-tarife,
Stadtwerke Holzminden GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-holzminden.de/stadtwerke_holzminden/leistungen/strom/preisbestandteile.htm,FEHLER fehlerhafte Kennzeichnung
Stadtwerke Homburg GmbH,10.70%,34.80%,9.40%,1.30%,39.10%,4.70%,100.00%,45.50%,17.57%,57.14%,15.44%,2.13%,7.72%,74.71%,357,0.0003,586.206896551724,https://www.stadtwerke-homburg.de/energie/strom/unser-strom-mix.html,
Stadtwerke Horb am Neckar,4.53%,21.74%,5.08%,0.82%,52.90%,14.93%,100.00%,27.64%,9.62%,46.16%,10.79%,1.74%,31.70%,58.68%,245,0.0001,520.169851380043,https://www.horb.de/Energie,
Stadtwerke Hünfeld GmbH,8.20%,30.40%,6.80%,1.30%,52.90%,0.40%,100.00%,38.50%,17.41%,64.54%,14.44%,2.76%,0.85%,81.74%,328,0.0002,696.390658174098,http://www.stadtwerke-huenfeld.de/strom/strommkennzeichnung/index.html,
Stadtwerke Husum GmbH,7.00%,22.00%,8.00%,1.00%,44.00%,18.00%,100.00%,31.00%,12.50%,39.29%,14.29%,1.79%,32.14%,55.36%,255,0.0002,455.357142857143,https://www.stadtwerke-husum.de/strom/#stromkennzeichnung,
Stadtwerke Ilmenau GmbH,8.80%,26.90%,10.10%,1.60%,50.90%,1.70%,100.00%,38.60%,17.92%,54.79%,20.57%,3.26%,3.46%,78.62%,315,0.0002,641.547861507128,https://www.stadtwerke-ilmenau.de/service-formular/veroeffentlichungen.html,
Stadtwerke Ingolstadt Energie GmbH,7.00%,19.90%,7.80%,6.10%,52.90%,6.30%,100.00%,33.80%,14.86%,42.25%,16.56%,12.95%,13.38%,71.76%,237,0.0002,503.184713375796,https://blog.sw-i.de/blogdetail/news/strommix-das-steckt-in-ihrem-strom/?tx_news_pi1%5Baction%5D=detail&tx_news_pi1%5Bcontroller%5D=News&cHash=baaaaab8229404cee0a5e477c2368ac3,
Stadtwerke Iserlohn GmbH,6.40%,22.80%,2.40%,3.30%,48.20%,16.90%,100.00%,28.50%,12.36%,44.02%,4.63%,6.37%,32.63%,55.02%,245,0.0002,472.972972972973,https://www.heimatversorger.de/de/Privatkunden/Energie-Wasser/SauerlandStrom/Stromkennzeichnung/,
Stadtwerke Itzehoe GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-itzehoe.de/strom/oekostrom/,nicht aktuell
Stadtwerke Jülich GmbH,,,,,,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,,,0,https://www.stadtwerke-juelich.de/privatkunden/swj-stabilstrom-2020/,nicht aktuell
Stadtwerke Kaarst GmbH,0.00%,0.00%,0.00%,0.00%,52.90%,47.10%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0,0.0000,0,https://www.stadtwerke-kaarst.de/strom/allgemeine-hinweise/stromkennzeichnung/,
Stadtwerke Kalkar GmbH & Co. KG,0.70%,2.50%,1.00%,0.10%,52.90%,42.70%,99.90%,3.60%,1.49%,5.31%,2.12%,0.21%,90.66%,7.64%,30,0.0000,63.6942675159236,https://www.stadtwerke-kalkar.de/strom/allgemeine-hinweise/stromkennzeichnung/,
Stadtwerke Kaltenkirchen GmbH,36.35%,44.94%,14.72%,1.90%,0.00%,1.79%,99.70%,61.56%,36.35%,44.94%,14.72%,1.90%,1.79%,61.56%,518,0.0010,518.24,http://www.stadtwerke-kaltenkirchen.de/relaunch/Home/23a21f8acd99/82.html,FEHLER mit EEG
Stadtwerke Kamp-Lintfort GmbH,8.20%,31.90%,3.50%,0.20%,52.90%,3.30%,100.00%,35.60%,17.41%,67.73%,7.43%,0.42%,7.01%,75.58%,344,0.0002,730.36093418259,https://www.swkl.de/stromkennzeichnung,
Stadtwerke Karlsruhe GmbH,8.60%,28.80%,8.10%,1.30%,52.90%,0.30%,100.00%,38.20%,18.26%,61.15%,17.20%,2.76%,0.64%,81.10%,327,0.0002,694.267515923567,https://www.stadtwerke-karlsruhe.de/swk/privatkunden/strom/energietraegermix.php,
Stadtwerke Kelheim GmbH & Co. KG,7.30%,22.40%,8.40%,1.30%,52.90%,7.70%,100.00%,32.10%,15.50%,47.56%,17.83%,2.76%,16.35%,68.15%,262,0.0002,556.263269639066,https://www.stadtwerke-kelheim.de/images/Dokumente/Stromkennzeichnung-2017%20aufbereitet%20Grafik.jpg,
Stadtwerke Kempen GmbH,7.20%,25.80%,13.40%,0.60%,52.90%,0.10%,100.00%,39.80%,15.29%,54.78%,28.45%,1.27%,0.21%,84.50%,299,0.0002,634.819532908705,https://www.stadtwerke-kempen.de/de/Strom/Stromkennzeichnung/Stromkennzeichnung/stromkennzeichnung-veroeffentlichung-fuer-2017-stadtwerke-kempen.pdf,
